finalPlace,area,detailplace,province,finalPoint,better_distribution
上海市奉贤区海湾旅游区海佳北路1号,奉贤区,海湾旅游区海佳北路1号,上海市,"(30.84053558388118, 121.52330655669272)",541.22905
上海市松江区新松公路10号,松江区,新松公路10号,上海市,"(30.98978135216049, 121.13165188103744)",1848.88408
上海市松江区新工北路710弄51号,松江区,新工北路710弄51号,上海市,"(30.94735647588145, 121.0866241686238)",460.922435
上海市松江区腰泾村新三路东侧到底,松江区,腰泾村新三路东侧到底,上海市,"(30.935031306337944, 121.1865937142516)",1330.48876
上海市松江区永丰庄路与永昆公路交叉路口往北约290米,松江区,永丰庄路与永昆公路交叉路口往北约290米,上海市,"(31.055944928525175, 121.11506631768073)",289.45399000000003
上海市松江区洞凯路6号,松江区,洞凯路6号,上海市,"(31.08476710118071, 121.26702430656243)",3993.80718
上海市松江区华凤路8号,松江区,华凤路8号,上海市,"(31.13946100691557, 121.27470526782551)",1138.8883
上海市松江区天鸡路245号,松江区,天鸡路245号,上海市,"(31.086002522125423, 121.15280664741032)",1748.16304
上海市松江区伴亭路涞亭路九亭开发区1栋,松江区,伴亭路涞亭路九亭开发区1栋,上海市,"(31.135889095316735, 121.32299700424475)",2767.1827
上海市松江区九泾路1111号1栋,松江区,九泾路1111号1栋,上海市,"(31.15392197711548, 121.29040252779852)",1237.1221
上海市松江区新桥镇申港二支路20号,松江区,新桥镇申港二支路20号,上海市,"(31.08016492071166, 121.35836428030866)",1451.7167
上海市松江区南星路2号,松江区,南星路2号,上海市,"(30.9501265936767, 121.27552092922858)",3012.07337
上海市金山区盛新西路9250号,金山区,盛新西路9250号,上海市,"(30.882396103289395, 121.05086541101866)",745.84019
上海市金山区大茫村建设9组7038号,金山区,大茫村建设9组7038号,上海市,"(30.866623183793266, 121.15953935737706)",979.56475
上海市金山区丰盛路136号,金山区,丰盛路136号,上海市,"(30.89798737008544, 121.25826259394032)",460.98598
上海市金山区金张支路25号,金山区,金张支路25号,上海市,"(30.797832641950485, 121.27196157330638)",405.184973
